[2026-01-20 21:19:40,350] INFO: Found 15686 areas to scan
[2026-01-20 21:19:44,265] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129521831: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyAP5a2kbM6b4iibwhHA-Srplsf
[2026-01-20 21:19:44,289] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129551270: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyKqPbJKS54UTAlBsTHDMMQt62I
[2026-01-20 21:19:44,300] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/127168439: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyAxnGnq4Ve416VXlns05A25TV_
[2026-01-20 21:19:44,304] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129038542: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyDKPyLZZ8-XbuqObAaFl9Hmcoc
[2026-01-20 21:19:44,317] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128970218: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyJS_0XUzjrGJ0o2ogACCaaSyjP
[2026-01-20 21:19:44,341] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129150961: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyIbKB6F95dVJfRBgLGxhbgxNsV
[2026-01-20 21:19:44,367] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129296592: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyOYvUbuXDWdpqbxXOFYaih7mF6
[2026-01-20 21:19:44,372] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128851676: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyKz4yAfmEQO5Ta5WoOJ8yNoSYP
[2026-01-20 21:19:44,373] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128936567: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyKGdhIk04OWYbvm5KIXVMq65Mw
[2026-01-20 21:19:44,375] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129371817: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyBJMaE24eEOeOzI-lnOGF3EgDq
[2026-01-20 21:19:44,380] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/127983839: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyNNLTHGoSqsbyscPzcsu2Nzz_J
[2026-01-20 21:19:44,419] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129345209: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyJeKmqw1dfr8-tv9DcrSBCKR3h
[2026-01-20 21:19:44,420] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128163061: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyOUcATfsPkDmnswWSKpy6GqZqY
